DrugBank ID,bit_0,bit_1,bit_2,bit_3,bit_4,bit_5,bit_6,bit_7,bit_8,bit_9,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,bit_21,bit_22,bit_23,bit_24,bit_25,bit_26,bit_27,bit_28,bit_29,bit_30,bit_31,bit_32,bit_33,bit_34,bit_35,bit_36,bit_37,bit_38,bit_39,bit_40,bit_41,bit_42,bit_43,bit_44,bit_45,bit_46,bit_47,bit_48,bit_49,bit_50,bit_51,bit_52,bit_53,bit_54,bit_55,bit_56,bit_57,bit_58,bit_59,bit_60,bit_61,bit_62,bit_63,bit_64,bit_65,bit_66,bit_67,bit_68,bit_69,bit_70,bit_71,bit_72,bit_73,bit_74,bit_75,bit_76,bit_77,bit_78,bit_79,bit_80,bit_81,bit_82,bit_83,bit_84,bit_85,bit_86,bit_87,bit_88,bit_89,bit_90,bit_91,bit_92,bit_93,bit_94,bit_95,bit_96,bit_97,bit_98,bit_99
DB00230,-0.5481,-0.7285,1.7544,0.5661,0.0889,0.5046,0.1468,-0.3795,0.5087,0.2023,0.2166,-0.0957,0.4837,-0.5938,-0.2565,-0.2181,0.3896,0.4372,-0.568,0.3652,0.458,-0.2367,-0.0975,-0.0073,-0.1053,-0.0865,0.0542,-0.3248,0.2766,-0.1404,0.2894,0.0894,0.2233,0.1014,-0.4431,0.4626,-0.2015,0.2281,0.0241,-0.0094,-0.0172,-0.4643,-0.0807,-0.3564,-0.2954,-0.1099,-0.3364,-0.0099,0.1721,0.0396,0.0097,0.1305,0.2131,-0.2282,-0.1811,0.0473,-0.2088,0.0196,-0.0799,0.2407,-0.4609,0.1691,0.2351,-0.027,-0.1113,-0.2355,-0.1546,-0.1519,-0.2127,0.105,-0.1743,0.1931,-0.1195,-0.2142,0.1244,0.086,0.0268,-0.3989,0.002,0.2056,0.1005,0.0429,0.0078,0.2012,-0.0949,-0.3073,-0.0079,-0.2095,-0.1962,-0.1669,-0.0585,0.0589,0.0202,0.3275,0.0879,0.3568,-0.0219,0.0513,0.0419,0.0413
DB00231,-0.4723,0.7248,-1.7358,0.8872,0.1765,-0.3609,1.6607,0.0936,-0.0431,0.7146,0.3245,-0.1736,0.0143,-0.9027,-0.0101,-0.4448,-0.1262,0.6978,-0.1902,-0.0365,-0.6453,0.4851,-0.5628,0.1162,0.3869,-0.6625,-0.1241,-0.1886,-0.4361,0.9195,-0.6965,0.1462,0.7061,-0.119,-0.0586,-0.8007,-0.1623,0.0088,-0.1795,-0.3162,-0.2192,-0.8346,-0.1201,-0.2162,-0.225,0.0321,-0.7108,0.0567,-0.1715,-0.1405,-0.1095,-0.6905,0.632,-0.4448,0.2731,-0.5006,-0.2902,-0.4894,-0.5474,-0.1055,-0.2129,0.1633,-0.1468,0.1125,-0.3712,0.2406,-0.1634,-0.2659,-0.1843,-0.0768,-0.0033,-0.075,-0.1805,0.3497,0.2808,-0.1938,-0.1456,-0.2699,0.1228,0.0092,0.1002,0.1207,-0.095,-0.57,-0.1783,0.1933,-0.0448,0.3423,-0.0059,-0.3742,-0.0269,0.078,0.1264,0.0421,-0.197,-0.3857,-0.3186,-0.356,-0.4084,-0.1876
DB00232,-0.5015,-0.1625,-1.123,-0.5607,0.3836,0.82,0.3658,-0.6404,-0.178,0.6184,-0.2876,0.6149,-0.4579,-0.5985,0.6278,0.9943,-0.52,0.2822,-0.0998,0.7631,-0.5931,-0.1688,0.5087,-1.1139,0.358,-0.1026,-0.0335,0.6009,0.0502,-0.1434,-0.2031,-0.8516,-0.2596,0.3226,-0.3889,0.9926,-0.6791,0.4682,0.9439,-0.0704,-0.1,-0.0774,-0.5501,-0.3484,0.0358,-1.5167,-0.844,-0.3497,0.6556,-0.2199,0.6397,-0.4107,0.2906,0.5507,-0.6288,0.3422,-0.1659,-0.2194,0.5975,0.1261,-0.0003,-0.0429,0.0077,-0.2443,-0.5179,-0.1309,0.7158,0.3596,0.0596,0.2102,0.5777,-0.1217,-0.3522,-0.9395,-0.129,-0.049,-0.2279,-0.2069,-0.1549,0.6443,-0.4791,-0.0368,0.055,0.1504,0.062,0.1178,-0.2622,0.2139,0.373,-0.165,-0.274,0.2275,-0.249,-0.0691,-0.4184,-0.6297,-0.2958,0.2945,-0.1848,0.0431
DB00233,-0.8338,-0.3345,0.3965,0.3523,0.6324,-0.4017,-0.1076,-0.9935,0.1105,1.322,-0.2007,0.2783,-0.0171,0.7403,-0.3645,-0.6256,0.4188,-0.0733,-0.3115,0.7435,-0.2795,-0.2819,0.0378,-0.3138,0.2283,0.5939,0.3355,0.1375,0.0126,-0.1431,-0.327,0.1475,0.2169,0.4834,0.0317,-0.2483,0.0225,0.4684,-0.0675,0.4055,0.0278,0.325,-0.1045,0.0672,0.2352,-0.0662,-0.1232,-0.2388,-0.0491,0.3891,0.2577,0.0741,-0.1484,0.1459,0.3251,-0.2017,-0.2219,-0.1098,0.2591,-0.1173,0.1863,0.0312,0.5914,-0.006,-0.0007,0.0444,-0.1706,0.0813,-0.2967,-0.0173,-0.0568,-0.1204,0.022,0.3406,0.1076,0.2568,-0.0526,0.1848,-0.3002,-0.4155,0.2451,-0.1001,0.2509,-0.0463,-0.0213,-0.0422,-0.0162,-0.2227,0.047,-0.3283,-0.0575,-0.3014,0.0979,0.0069,-0.2629,-0.0248,0.4656,-0.0148,-0.2793,0.3467
DB00234,-0.4548,0.5032,-0.0464,0.1076,-0.7485,-0.1384,-0.4031,1.1666,-0.1371,-0.4508,-0.1084,-0.7385,0.5121,-0.3428,-0.8421,0.2093,-0.547,0.0856,0.465,0.4661,-0.5671,-0.478,0.3948,0.1986,-0.2193,-0.2329,0.4005,0.039,0.5183,-0.5601,0.2771,-0.4587,-0.4186,-0.3331,-0.2106,-0.0409,0.1166,0.3848,-0.4694,0.1497,-0.3164,-0.0078,0.0599,-0.3274,0.3662,-0.6957,0.2962,-0.7049,-0.0972,-0.4494,-0.0234,0.2059,-0.2434,0.065,0.2598,0.2169,-0.1008,0.1942,0.2559,0.156,0.4381,0.3373,-0.2587,0.1207,0.2076,0.3576,-0.4061,0.233,0.5095,0.4566,-0.1465,0.0673,-0.5068,0.2229,0.3447,-0.1382,-0.0432,0.3327,0.4867,-0.3492,-0.1986,0.1723,-0.3318,0.1493,0.0393,-0.1424,0.0234,0.2495,0.3069,-0.157,0.2853,-0.2533,-0.032,-0.1495,0.1445,0.6894,0.2911,-0.3241,-0.4237,-0.7329
DB00235,-0.9639,-0.3202,-0.8748,-0.3418,0.8058,-0.0404,0.681,-0.6724,-0.4742,-0.5053,-0.873,-0.1864,0.9051,-0.0102,0.072,0.2522,-0.138,-0.0676,0.1103,0.1555,0.5203,0.3344,-0.446,-0.0234,-0.0559,0.2742,0.2427,-0.1649,-0.5072,0.094,0.2211,0.5012,-0.8948,0.2002,0.3376,-0.3194,0.2177,0.2442,-0.439,0.5294,-0.2035,-0.2211,-0.6875,-0.2242,-0.5037,-0.128,0.2009,0.4058,-0.4897,0.3346,-0.1924,-0.5642,-0.5147,-0.4057,-0.1126,-0.1247,0.8272,0.0875,0.3873,-0.0135,0.3612,-0.2821,-0.3422,0.2855,-0.4178,0.4486,0.0715,-0.1328,-0.33,-0.2393,0.1263,-0.0224,0.4782,-0.1137,-0.5343,-0.1777,-0.1822,-0.2342,0.0265,-0.0631,-0.0789,-0.1212,-0.2288,-0.0527,0.2628,0.0363,-0.1621,0.0126,0.1081,-0.4832,-0.0149,-0.2602,0.0575,0.3083,0.2637,0.14,-0.2266,-0.4895,0.7298,0.1246
DB00237,-0.5553,-1.156,0.6146,0.2392,-0.2564,0.5869,0.0905,-0.0254,-0.1641,-0.6856,-0.1289,0.2797,1.6381,-0.8368,0.1959,0.6451,-0.568,0.2788,-0.6171,0.3438,0.2257,-0.0288,0.2719,-0.0095,-0.0635,-0.1235,-0.2332,-0.0072,0.3823,-0.1652,0.4373,0.0245,0.03,0.0232,-0.3044,0.0913,0.2475,0.6656,-0.157,-0.3047,0.0412,0.1504,-0.268,0.0458,0.1948,0.1299,-0.3472,0.028,0.0672,0.3262,0.0074,0.2295,-0.178,-0.3466,-0.0887,-0.0535,0.1256,0.3609,0.0807,0.0199,-0.468,0.0011,-0.0826,0.2796,0.0066,-0.293,-0.6138,-0.1423,0.1321,0.1036,-0.0914,0.0574,-0.109,0.0783,-0.1214,-0.1532,0.2286,0.1874,-0.0275,0.1297,0.0473,0.1976,-0.2172,0.1388,0.1332,-0.1525,0.2216,0.2132,-0.0432,0.0306,-0.0228,0.1524,0.1568,0.1604,-0.1915,-0.1585,0.0842,-0.1994,-0.0795,-0.259
DB00238,0.2087,0.263,-1.9458,0.3979,0.3132,0.0659,0.3164,-0.3349,-0.5003,-0.6112,-0.8233,-0.678,0.4018,-0.1581,0.2798,0.1196,-0.2578,0.292,-0.1751,-0.2633,-0.3323,0.2297,0.1386,-0.1608,-0.8081,0.2269,0.1317,0.1751,-0.4236,-0.7281,-0.0535,-0.2059,0.1027,-0.0385,0.6212,0.001,0.0877,-0.0147,0.088,-0.1375,-0.1021,0.3115,-0.3309,-0.3128,0.2035,-0.028,0.4052,-0.0266,-0.4182,0.0917,-0.1111,-0.0122,-0.2465,-0.2302,-0.084,0.1694,0.0559,0.1558,-0.0102,0.4043,0.0609,0.1227,0.6385,0.6088,-0.2248,-0.347,-0.1408,-0.0192,-0.157,-0.0543,0.3571,-0.0884,0.0884,0.337,-0.4855,-0.1748,0.1719,0.4814,-0.5228,0.3567,-0.5562,0.5178,0.1991,-0.0426,0.2067,-0.1379,-0.3305,-0.366,-0.0057,0.1723,0.369,0.7431,0.2637,0.5618,0.7714,-0.3053,0.5862,0.2241,-0.1266,0.2358
DB00239,-1.3872,0.1589,-1.0684,-0.8874,0.5883,0.4198,1.1363,0.0332,-0.0511,0.4966,1.1654,0.3481,-0.5591,-0.5163,-0.3431,-0.8716,-0.5022,0.4434,-0.5828,0.0198,0.4546,0.441,0.369,0.2682,0.0822,0.2027,0.1541,0.7302,0.3572,0.4062,-0.7935,0.2717,0.0491,0.0336,0.7117,-0.0831,0.8223,0.1771,0.1448,-0.0076,0.3316,-0.1249,0.1633,0.2457,-0.54,-0.2368,0.0747,0.6784,-1.0671,-0.2712,0.1516,0.1912,0.1557,0.3743,-0.0634,-0.3655,0.1899,0.2671,0.6279,0.6916,0.5399,0.1347,-0.1373,-0.1147,0.0916,0.5087,-0.0883,0.076,-0.3309,0.1303,-0.1778,-0.3961,-0.1402,-0.181,0.5126,-0.1019,0.1303,-0.1753,0.3178,0.4825,-0.0057,-0.2408,0.2811,0.2947,0.643,0.3412,0.0162,0.1896,-0.104,-0.1843,-0.2949,0.0439,0.2154,-0.042,-0.5527,0.0649,-0.0733,0.0022,-0.0598,0.0316
DB00240,2.1172,-2.0483,-0.2243,0.4099,-0.5106,-0.9189,1.6715,-0.3749,0.8081,-0.6603,0.975,0.0746,-0.2194,0.7638,-0.3174,0.8245,0.5053,0.835,-0.0319,0.0415,-0.3492,0.2567,0.3533,0.4405,0.1341,0.6939,-0.2591,-0.2301,-0.1397,0.1665,-0.3239,-0.498,-0.2746,-0.0748,0.1524,0.0633,0.0244,0.4405,0.1956,-0.3379,-0.2148,0.3201,-0.3248,-0.6326,-0.0541,0.0397,-0.1432,0.1037,-0.0128,0.1813,-0.3001,0.0843,-0.0228,-0.1666,0.2029,-0.4131,-0.0589,-0.3675,-0.1979,-0.1044,-0.5794,0.3906,0.4326,-0.119,-0.1507,0.4777,-0.2472,0.0419,-0.2782,0.5221,0.0407,0.0549,0.4177,-0.3496,0.1313,-0.042,0.0466,0.3581,0.2828,-0.2455,-0.1419,-0.2587,0.3723,-0.3973,-0.2078,0.1416,-0.2525,0.2444,0.0836,0.2762,0.4233,0.0105,-0.4436,0.2601,0.5988,0.3088,0.182,-0.049,-0.2677,-0.4512
DB00241,-0.4481,-1.1299,0.5947,0.2059,-0.2141,0.7157,0.0026,-0.09,-0.5669,-0.5676,-0.2502,0.1706,1.5213,-0.8422,-0.0701,0.4443,-0.2035,0.1677,-0.301,-0.0808,0.4662,0.2625,0.2126,-0.2111,0.0521,0.306,-0.605,-0.0943,0.5138,-0.2625,0.3882,0.0455,0.5351,-0.1446,-0.1657,0.1423,0.0773,0.5591,0.2126,-0.2827,0.3795,0.1759,-0.2464,0.0725,0.2301,0.4266,-0.2811,-0.06,0.0614,0.0363,-0.021,-0.0908,-0.2412,-0.0243,-0.2494,-0.3199,0.3883,0.3878,0.4778,0.46,-0.4523,0.1574,-0.1231,0.1724,-0.2043,-0.4408,-0.6187,-0.2274,0.0972,0.0478,-0.326,0.0312,0.0544,0.2006,0.1079,0.16,0.4917,0.1043,0.2306,0.1908,-0.0947,0.175,-0.1102,0.0982,0.2642,0.0371,-0.1722,0.449,0.0919,0.0174,-0.2867,0.4856,-0.0392,0.1191,-0.1493,-0.1834,-0.1223,-0.1725,0.2291,-0.3322
DB00242,0.1779,-0.5343,-0.3475,-0.477,1.6374,1.5167,0.9648,1.1547,0.268,-0.5309,0.2578,-0.7885,-1.7587,0.873,0.0171,-0.5621,-0.7379,0.1394,0.3189,0.3895,-0.1203,-0.8617,-0.8247,0.3264,0.5172,0.3678,-0.7392,0.5404,0.0363,0.1283,-0.2317,-0.1951,0.1544,-0.444,0.102,-0.1312,-0.1463,0.2768,-0.0256,-0.4942,0.148,0.3402,0.5744,0.3148,0.2113,0.0873,0.0651,-0.2973,0.0657,0.4597,-0.0115,0.0142,-0.8785,0.2585,-0.1631,-0.3789,0.1665,0.1318,-0.0329,-0.052,-0.2309,-0.0842,-0.5253,-0.589,-0.3681,-0.3228,0.3121,0.5936,-0.0133,-0.1864,0.0174,-0.1695,-0.1306,-0.1996,0.6063,-0.3524,-0.08,-0.1687,-0.1426,0.3234,-0.0743,-0.0358,0.4516,-0.1068,-0.2761,0.0567,0.2842,0.1148,0.0789,-0.0797,-0.0069,0.23,0.2441,-0.0324,0.3387,0.2257,0.3566,-0.3669,-0.0995,0.052
DB00243,-0.0351,1.5217,0.2027,-0.4104,0.1549,-0.9814,-1.3466,0.4158,0.0935,-0.0595,0.5723,-0.5222,-0.0495,0.4591,-0.116,0.5508,0.1159,1.2157,-0.2011,-0.1566,0.4828,0.5017,-0.2983,0.1234,-1.2105,-0.1271,-0.9578,-0.4524,0.1802,-0.7386,0.7881,-0.4245,-0.1606,-0.3251,0.3852,-0.1571,-0.0011,-0.0419,-0.4308,-0.2306,-0.2919,-0.318,0.55,0.1459,-0.1759,0.1073,0.5119,-0.0353,-0.6356,0.1349,0.0237,-0.4546,-0.0583,0.5763,-0.0124,-0.197,-0.4183,0.0425,-0.1544,-0.7441,-0.2757,0.5872,0.0251,0.166,-0.131,-0.2215,0.5565,-0.3193,0.7391,0.5457,-0.0885,-0.611,-0.3006,-0.0147,-0.056,0.3381,0.3105,0.0298,-0.7077,-0.1025,-0.1802,-0.1034,0.6372,0.3648,-0.0566,0.3762,-0.3114,-0.7564,-0.3279,-0.043,-0.2762,-0.2718,0.4716,0.1462,0.04,-0.1649,0.3807,0.3985,0.2051,0.1789
DB00244,-0.8235,-0.3383,0.3895,0.3601,0.6041,-0.3771,-0.0484,-1.0552,0.0413,1.3955,-0.1108,0.3214,0.0288,0.9062,-0.3864,-0.7253,0.4452,-0.0363,-0.2723,0.7341,-0.4553,-0.2297,0.046,-0.3058,0.1868,0.5562,0.3413,0.126,-0.0662,-0.0658,-0.3369,0.1088,0.2227,0.5169,0.0144,-0.1216,-0.0129,0.5668,-0.0626,0.463,0.0061,0.2352,-0.0967,0.1527,0.3305,0.0063,-0.0923,-0.2603,-0.1419,0.1479,0.1938,0.1767,-0.1019,-0.0426,0.2558,-0.1653,-0.2,0.0499,0.3311,-0.0792,0.1692,-0.0628,0.6286,-0.1018,-0.1437,-0.0887,-0.2245,0.2055,-0.36,-0.17,0.12,0.0304,0.0259,0.4076,0.1161,0.3248,0.0461,0.115,-0.3886,-0.5703,0.1975,-0.108,0.1378,0.1082,-0.2556,-0.0711,0.0919,-0.1453,-0.1623,-0.3715,0.037,-0.3473,0.2575,0.0716,-0.2533,-0.1186,0.5038,0.1634,-0.168,0.2921
DB00245,-0.206,0.2694,-0.4525,0.8913,-0.9561,0.0195,-0.5971,0.6974,-0.4169,0.0566,-0.1332,-1.1311,-0.1917,-0.1992,-0.7825,0.2951,-0.085,0.1979,-0.043,0.1136,-0.669,-0.5457,0.108,0.025,-0.3328,-0.1919,0.5728,0.0421,0.0716,0.3108,-0.5095,-0.8499,-0.412,-0.0382,-0.5532,-0.2068,-0.005,-0.8529,0.0136,0.0374,-0.001,-0.4021,-0.1999,-0.1682,-0.2135,0.2042,-0.3865,0.243,-0.0477,-0.2554,0.1849,-0.0074,0.0117,0.0286,-0.0231,-0.3705,0.7333,-0.0413,0.3599,0.082,0.393,0.2384,0.047,0.0791,-0.0498,0.0311,0.2481,0.4159,0.023,-0.0856,-0.2637,0.0581,-0.128,0.1121,-0.1357,0.1224,-0.367,0.1849,0.2002,-0.073,-0.1402,-0.1461,0.0183,0.0554,0.1562,-0.0002,0.0518,-0.1772,0.268,0.2071,0.0405,0.4626,-0.1341,-0.0026,0.1,-0.2783,0.2701,0.1964,-0.0719,-0.0911
DB00246,-0.1396,1.0038,-2.3022,0.7888,-0.2646,0.7221,0.4824,-0.0905,0.4367,0.2071,-0.031,0.5292,0.4667,0.0141,-0.6768,0.3413,-0.6376,-0.29,-0.1372,-0.3727,0.5211,0.5434,0.3679,-0.3535,0.1371,0.1425,-0.4369,-0.0543,0.5664,-0.7794,1.0043,-0.9144,0.1538,0.2282,0.4356,-0.0414,-0.7173,0.8853,0.1081,0.4215,0.9739,0.9792,-0.3918,0.4042,-0.1646,0.0446,0.0212,0.032,0.2089,0.1088,0.4206,-0.0232,0.866,-0.1596,-0.3267,0.4101,0.1172,0.0053,-0.3435,-0.1977,0.1641,0.3314,-0.1355,0.0759,0.4406,-0.7865,-0.1048,-0.5594,-0.1522,0.1597,0.1661,-0.1241,0.267,-0.1603,0.3063,0.0346,0.1935,0.0453,0.552,0.1483,-0.2321,-0.373,0.3434,-0.5368,0.4393,-0.3687,-0.0499,0.2342,-0.1286,0.489,0.2058,0.467,-0.3111,0.6774,0.5645,-0.0997,-0.2301,0.5198,0.2751,0.2022
DB00247,0.5419,1.1805,0.0513,-0.017,-0.2506,0.3273,-0.4658,0.2091,0.4133,0.0371,-0.1199,-0.5901,0.5058,0.8361,1.3262,0.2418,-0.4341,1.5059,0.0723,-0.2564,0.3206,-0.227,-0.1012,0.9795,-0.8998,0.1316,-0.1926,-1.3346,0.2485,0.6716,-0.6774,0.0818,0.042,0.0845,-0.3609,0.8995,0.3541,-0.2603,0.055,0.1216,-0.5185,0.3033,0.4114,0.0096,-0.5583,-0.4481,-0.3808,0.1657,0.4318,-0.4686,0.4225,-0.6546,-0.84,-0.5506,-0.1225,0.5895,-0.6255,0.1784,0.8838,0.0495,-0.2728,0.4166,-0.0261,0.0473,0.6847,0.2389,0.1075,0.1562,-0.3532,0.1679,0.0851,0.3771,0.2243,-0.143,-0.1518,-0.0349,-0.2032,-0.0575,-0.3762,0.1179,-1.2753,-0.2249,-0.2519,-0.3807,-0.2972,-0.1372,0.508,0.4536,-0.5004,-0.0211,0.9468,-0.4301,-0.2872,-0.3423,-0.5937,0.0636,0.3011,0.3749,0.4779,0.223
DB00248,0.8886,0.9707,0.0364,0.0285,-0.8856,0.2826,-0.5388,0.409,0.2383,-0.2704,-0.6792,1.1395,0.5612,-0.0336,1.2509,-0.4205,0.2348,0.2058,1.1854,-0.6669,0.1112,-0.7594,0.6653,1.0721,-0.6749,0.857,-0.5085,-0.5087,0.4562,0.5469,-1.0388,0.171,-0.1813,0.0015,-0.6289,0.704,0.4247,-0.09,0.736,0.0161,-0.0598,0.806,0.794,0.0082,-0.4865,0.3004,0.3746,0.0036,0.1191,-0.6307,0.1861,-0.3363,0.0634,-0.2459,0.7876,-0.23,0.2695,-0.1313,0.3481,0.035,-0.1873,-0.0055,-0.1908,0.7228,-0.6734,0.2366,0.9006,-0.2716,0.3398,-0.0099,0.448,0.3977,0.1302,-0.3517,0.4767,-0.0653,-0.5861,0.0718,-0.4694,-0.6975,-0.4054,-0.1655,0.3255,-0.088,-0.7359,0.3671,-0.2033,0.1952,0.0314,0.7673,-0.7958,-0.1483,-0.4403,-0.5647,0.4051,-0.1651,-0.68,-0.878,-0.4817,0.2307
DB00250,-1.3756,-0.959,0.075,0.1316,0.5287,0.0184,-0.0345,-0.6143,-0.1593,0.1395,-0.8962,0.2805,-0.7489,0.1934,0.0945,0.7058,0.103,0.1325,-0.1918,0.648,-0.7459,-0.2654,0.2242,-0.572,0.5305,0.3877,0.4043,-0.0077,0.4665,-0.1696,0.1088,0.2731,0.0751,0.1104,-0.3688,-0.0499,0.3902,0.1481,-0.0225,0.589,0.2748,-0.2507,0.6001,0.221,-0.3627,0.3368,-0.2033,-0.0143,0.0409,0.3386,-0.0393,0.023,-0.1447,-0.1469,0.269,0.0808,-0.1793,-0.2595,-0.0328,0.0061,0.1254,0.1174,0.505,0.0995,-0.0235,0.3263,0.0815,-0.1259,-0.1995,-0.004,-0.2528,0.0038,0.2059,0.0986,-0.0143,0.1191,-0.0697,0.177,-0.089,0.0863,0.0574,-0.4209,0.1374,0.0245,-0.1273,-0.024,0.0256,-0.0025,0.009,-0.1156,0.0819,-0.112,0.2659,-0.1774,0.1314,-0.1666,0.0453,0.0803,-0.0375,0.1399
DB00251,0.3017,0.5115,-1.6046,-1.3599,0.3186,0.4187,0.5454,1.3901,-0.5842,0.2918,1.8202,-0.3886,-0.1758,-1.1808,-0.4795,-0.4565,-1.1466,-0.1273,-1.2582,-0.0674,0.5884,0.0737,-0.2171,-0.2728,-0.0198,0.4138,1.6551,0.6025,0.4061,-0.1753,-0.1351,0.3985,-0.5038,-1.7444,0.3449,0.2871,0.1682,0.6828,-0.318,-0.7177,0.3899,-0.1012,0.3439,0.2706,-0.0035,0.0852,-0.6934,-0.2748,0.1984,-0.0439,-1.2457,0.1181,-0.1099,-0.503,0.1838,0.231,-0.2912,0.2654,0.3627,-0.6459,-1.0577,-0.3762,0.5919,-0.6688,0.5287,-0.716,0.11,-0.1748,-0.0206,0.3707,0.8979,-0.6971,0.5227,-0.539,-0.1995,-0.0731,-0.6835,0.9606,0.2478,-0.3855,0.4765,-0.2911,-0.217,0.761,1.3353,0.7028,-0.2791,0.104,-0.5989,0.1459,-0.3156,0.4002,0.6738,-0.4615,-0.3673,0.1735,0.429,0.2449,0.2479,0.4313
DB00252,-0.9544,-0.3747,-0.2153,1.1319,-0.4989,-0.2744,0.2685,-0.1776,0.0549,-0.1171,-1.1205,-0.0847,0.9215,-0.3705,-0.207,0.0238,-0.5744,-0.0787,0.2112,0.1272,-0.2032,0.4005,0.3158,-0.11,0.1076,-0.1268,-0.12,0.2254,0.2591,0.0559,0.2011,0.0883,-0.0219,0.1205,-0.4341,-0.2607,0.5276,0.7096,-0.1184,-0.2039,-0.2689,0.0148,0.1064,0.2908,0.3019,0.1866,-0.1971,-0.4121,-0.0929,0.1045,0.1888,0.3305,-0.2017,-0.2593,0.1028,-0.3747,0.2073,0.2893,0.1291,-0.4012,-0.0569,0.0235,-0.0718,0.2477,0.2592,0.0474,-0.3786,-0.0451,0.3054,0.0517,-0.0739,-0.218,0.1489,0.1405,0.0465,0.2754,0.3639,0.0846,-0.2373,0.0393,0.0551,-0.0701,-0.0611,0.0972,0.059,-0.1979,0.4871,0.0316,0.0867,-0.1922,0.1257,0.0205,0.0238,0.2887,0.001,-0.1582,0.0903,0.0311,0.0604,-0.0031
DB00253,2.2315,-2.2541,-0.4342,-0.0852,-0.7847,-0.7011,0.1773,-0.8133,-0.2354,-0.2397,-0.1317,-0.4243,-0.3965,-0.311,-0.1735,-0.2922,0.3969,0.0378,-0.1689,-0.3497,-0.0824,0.3405,-0.7221,-0.2283,-0.1762,-0.3651,0.0305,-0.028,-0.2284,0.4882,0.0822,-0.1737,0.1843,0.0614,-0.1447,0.0607,0.1387,-0.3618,0.2928,-0.0704,0.3151,0.1482,-0.068,0.3789,-0.0529,0.3237,0.2782,-0.0233,-0.1892,0.3961,-0.0447,-0.1056,-0.5863,0.4222,-0.2952,-0.4067,-0.4165,-0.6756,0.0295,-0.507,0.2788,0.2356,0.0994,0.0745,0.3649,-0.8322,0.1044,-0.2358,0.3499,0.6872,-0.0602,0.2794,0.4499,0.1019,0.215,-0.0863,-0.3419,-0.2847,-0.0441,0.388,-0.2067,-0.0684,0.1314,0.0615,-0.0998,-0.5162,0.6445,0.4865,-0.3515,-0.251,-0.1047,-0.168,0.2704,-0.002,0.1715,-0.4619,-0.0485,0.1019,-0.3816,-0.1082
DB00254,0.558,-0.3001,0.2941,0.06,-0.1239,-1.0736,1.2482,0.1997,-1.1174,1.0142,-1.4458,0.9896,-0.0531,1.3652,1.5168,-0.8334,0.6732,0.4322,-0.2939,-0.1596,-0.1791,-0.9984,0.8866,-1.3105,-0.3829,-0.0227,-0.9458,-0.1128,-0.9454,-1.4582,-0.0067,-0.5343,0.001,-0.6554,0.4057,0.0155,0.6029,0.4365,0.6767,-0.7431,0.5809,-0.7877,0.3241,-0.1512,0.2174,0.3999,-0.1928,0.7629,0.0831,0.1852,-1.1387,-0.3558,0.6306,-0.2102,0.1701,-0.0413,-0.1986,0.0052,0.0466,-0.1711,-0.0579,0.1176,0.1711,-0.2267,0.4074,0.254,-0.7834,-0.014,0.0279,0.2224,-0.1498,-0.0547,-0.5299,0.1816,-0.0023,-0.2399,-0.0022,0.0333,0.3107,0.1784,0.0969,-0.3977,0.3452,0.1511,-0.1624,-0.2606,-0.369,-0.1544,0.3487,-0.0346,-0.3666,0.2231,-0.0081,0.2685,0.0548,-0.4404,0.0955,0.0331,-0.1978,0.0001
DB00255,-1.1221,-0.6433,0.3626,-0.0311,-0.2251,-0.2002,-0.2613,0.0099,-0.2702,-0.0449,0.3322,0.697,0.4417,0.9276,0.232,-0.3779,-0.49,0.0528,-0.1926,-0.0088,-0.1795,0.1199,-0.0529,0.4007,0.0022,0.0718,0.3543,0.3002,-0.7483,0.0258,-0.1278,0.1286,-0.2246,0.245,-0.3034,0.1507,0.6063,-0.1694,-0.2571,0.2464,0.0843,-0.0993,0.1657,-0.3263,0.1695,-0.1603,-0.4186,-0.1829,-0.4501,0.236,0.2328,0.2423,-0.6262,0.2819,-0.2421,-0.2237,-0.0487,0.2802,-0.3696,0.3855,-0.0288,-0.1635,0.1956,0.3011,0.2054,0.3464,-0.0009,-0.4273,-0.0312,0.2528,-0.0616,0.1401,-0.3137,-0.3117,0.1433,-0.0108,-0.0389,-0.0025,0.2902,0.1949,-0.1818,0.1374,-0.1327,-0.2213,0.1812,0.0259,-0.0048,0.0488,0.0045,0.0271,0.0503,-0.0254,0.1052,-0.0301,0.0506,0.1219,-0.1773,0.0167,-0.1547,0.1276
